Date,S1,S2,S3,S4,SB,SD
2024-01-01,16.8,13.4,16.7,13.5,11.4,18.8
2024-01-02,16.3,13.3,17.1,13.9,11.9,19.1
2024-01-03,16.7,13.4,16.9,13.9,12.0,18.6
2024-01-04,16.9,13.9,17.0,13.6,11.7,18.4
2024-01-05,16.6,13.6,16.8,14.0,11.9,18.7
2024-01-06,16.9,14.0,17.0,13.8,11.5,18.6
2024-01-07,16.6,13.8,16.8,14.0,11.8,18.8
2024-01-08,16.9,13.9,16.9,13.5,11.6,18.9
2024-01-09,16.7,13.8,16.8,13.8,11.6,18.7
2024-01-10,16.8,14.0,16.7,14.0,11.7,18.9
2024-01-11,17.3,13.8,17.2,14.0,11.7,18.9
2024-01-12,17.2,13.9,17.1,13.7,12.4,18.6
2024-01-13,17.3,13.8,17.0,14.1,12.0,19.1
2024-01-14,16.9,14.4,17.0,14.0,12.0,19.0
2024-01-15,17.2,14.0,17.5,14.4,12.5,19.2
2024-01-16,17.3,14.4,17.0,14.0,12.5,19.0
2024-01-17,17.4,14.4,17.2,14.3,12.3,19.2
2024-01-18,17.5,14.7,17.1,14.3,12.2,19.4
2024-01-19,17.0,14.5,17.7,14.5,12.4,19.2
2024-01-20,17.5,14.4,17.4,14.2,12.1,19.6
2024-01-21,17.4,14.6,17.5,14.6,12.7,19.4
2024-01-22,17.6,14.5,17.5,14.6,12.5,19.9
2024-01-23,17.4,14.8,17.9,14.7,12.9,19.9
2024-01-24,17.8,14.6,17.5,15.1,12.7,19.4
2024-01-25,18.1,14.9,18.0,14.6,12.9,19.5
2024-01-26,17.8,14.8,17.9,14.9,13.4,20.0
2024-01-27,18.0,14.9,18.2,15.3,13.2,20.3
2024-01-28,18.4,15.2,18.5,15.5,13.4,20.2
2024-01-29,17.9,15.2,18.5,15.5,13.4,20.3
2024-01-30,18.5,15.3,18.6,14.9,13.4,20.1
2024-01-31,18.6,15.8,18.6,15.5,13.5,20.4
2024-02-01,18.7,15.7,19.0,15.6,13.6,20.8
2024-02-02,18.7,15.6,19.0,15.8,13.8,21.0
2024-02-03,18.7,16.0,18.8,16.0,13.9,20.8
2024-02-04,19.3,16.2,19.2,15.9,14.1,20.8
2024-02-05,19.3,16.5,19.3,16.5,14.0,21.5
2024-02-06,19.7,16.7,19.1,16.5,14.0,21.2
2024-02-07,19.6,16.5,19.2,16.3,14.6,21.7
2024-02-08,19.4,16.4,19.4,16.5,14.6,21.7
2024-02-09,19.7,16.9,19.8,16.9,14.8,21.7
2024-02-10,19.9,17.0,20.3,16.8,14.7,21.9
2024-02-11,19.8,17.0,20.2,17.1,15.3,21.9
2024-02-12,20.4,17.3,20.1,17.6,15.0,22.4
2024-02-13,20.3,17.2,20.5,17.5,15.3,22.4
2024-02-14,20.3,17.2,20.6,17.6,15.3,22.3
2024-02-15,20.5,17.7,20.6,18.0,15.5,22.8
2024-02-16,20.6,17.9,21.0,17.8,15.5,22.9
2024-02-17,21.0,18.1,20.8,17.9,16.2,23.0
2024-02-18,21.2,18.2,21.3,18.1,16.0,23.3
2024-02-19,21.5,18.2,21.6,18.4,16.0,23.0
2024-02-20,21.6,18.5,21.4,18.7,16.5,23.8
2024-02-21,22.1,18.5,21.6,18.8,16.4,24.1
2024-02-22,21.9,19.0,21.6,18.7,17.0,24.0
2024-02-23,22.3,19.3,22.4,18.8,17.1,23.9
2024-02-24,22.2,19.5,21.9,19.5,17.2,24.5
2024-02-25,22.6,19.5,22.7,19.4,17.6,24.4
