Time,S1,S2,S3,S4,SB,SD
0.00,36.2,33.3,36.2,33.1,31.2,38.2
0.24,36.2,33.3,36.2,33.2,31.2,38.3
0.48,36.2,33.2,36.3,33.2,31.2,38.2
0.72,36.2,33.3,36.2,33.3,31.3,38.3
0.96,36.2,33.4,36.3,33.3,31.3,38.3
1.20,36.4,33.3,36.4,33.3,31.4,38.4
1.44,36.4,33.5,36.5,33.4,31.4,38.4
1.68,36.5,33.5,36.4,33.6,31.6,38.5
1.92,36.6,33.6,36.6,33.7,31.6,38.6
2.16,36.7,33.7,36.7,33.6,31.7,38.7
2.40,36.8,33.9,36.7,33.8,31.8,38.9
2.64,36.9,33.9,36.9,33.8,32.0,38.9
2.88,37.1,34.1,37.1,34.0,32.0,39.0
3.12,37.1,34.1,37.2,34.2,32.2,39.1
3.36,37.4,34.3,37.3,34.3,32.4,39.3
3.60,37.5,34.5,37.5,34.4,32.5,39.4
3.84,37.6,34.6,37.7,34.6,32.6,39.6
4.08,37.7,34.7,37.7,34.8,32.7,39.8
4.32,37.9,35.0,38.0,34.9,32.8,40.0
4.56,38.2,35.1,38.0,35.1,33.0,40.2
4.80,38.3,35.3,38.4,35.3,33.2,40.3
5.04,38.5,35.5,38.5,35.5,33.4,40.5
5.28,38.7,35.7,38.6,35.7,33.7,40.6
5.52,38.9,35.9,38.8,35.8,33.8,40.8
5.76,39.0,36.1,39.0,36.0,34.0,41.0
6.00,39.2,36.2,39.3,36.3,34.2,41.2
6.24,39.4,36.5,39.3,36.4,34.4,41.3
6.48,39.6,36.6,39.6,36.6,34.6,41.7
6.72,39.8,36.8,39.9,36.8,34.8,41.8
6.96,40.0,36.9,39.9,36.9,35.0,42.0
7.20,40.3,37.2,40.1,37.2,35.2,42.1
7.44,40.3,37.2,40.3,37.3,35.4,42.4
7.68,40.5,37.4,40.6,37.6,35.5,42.5
7.92,40.6,37.7,40.6,37.6,35.6,42.6
8.16,40.9,37.6,40.9,37.8,35.8,42.8
8.40,40.9,38.0,40.9,38.0,36.0,43.0
